Date,Customer ID,Visits,Sales
2015-01-01,1,8,0
2015-01-01,2,1,0
2015-01-01,3,5,0
2015-01-01,4,1,0
2015-01-01,5,7,0
2015-01-01,6,3,0
2015-01-01,7,1,0
2015-01-01,9,1,0
2015-01-01,10,5,0
2015-01-01,11,5,0
2015-01-01,13,2,0
2015-01-01,15,4,0
2015-01-01,16,5,0
2015-01-01,17,4,0
2015-01-01,18,3,0
2015-01-01,19,1,0
2015-01-01,20,2,0
2015-01-01,22,1,0
2015-01-01,23,6,0
2015-01-01,24,2,0
2015-01-01,25,1,0
2015-01-01,26,1,0
2015-01-01,27,3,1
2015-01-01,28,1,0
2015-01-01,30,3,1
2015-01-01,31,3,0
2015-01-01,32,2,0
2015-01-01,33,1,0
2015-01-01,34,5,0
2015-01-01,35,1,0
2015-01-01,36,1,0
2015-01-01,39,2,0
2015-01-01,40,1,0
2015-01-01,42,4,0
2015-01-01,43,2,0
2015-01-01,44,1,0
2015-01-01,45,15,0
2015-01-01,46,1,0
2015-01-01,47,2,0
2015-01-01,49,1,0
2015-01-01,50,2,0
2015-01-01,51,5,0
2015-01-01,52,1,1
2015-01-01,53,5,1
2015-01-01,54,2,0
2015-01-01,55,11,0
2015-01-01,56,2,0
2015-01-01,57,12,0
2015-01-01,58,2,0
2015-01-01,59,1,0
2015-01-01,60,1,0
2015-01-01,61,2,0
2015-01-01,62,7,0
2015-01-01,63,3,0
2015-01-01,65,3,0
2015-01-01,67,1,0
2015-01-01,68,1,0
2015-01-01,69,2,0
2015-01-01,70,1,0
2015-01-01,71,1,0
2015-01-01,72,4,0
2015-01-01,73,8,0
2015-01-01,74,2,0
2015-01-01,75,1,0
2015-01-01,76,1,0
2015-01-01,77,3,0
2015-01-01,78,1,0
2015-01-01,79,1,0
2015-01-01,80,3,0
2015-01-01,81,3,0
2015-01-01,82,8,6
2015-01-01,84,1,0
2015-01-01,85,2,0
2015-01-01,86,2,0
2015-01-01,87,1,0
2015-01-01,88,2,0
2015-01-01,89,2,0
2015-01-01,90,1,0
2015-01-01,91,36,2
2015-01-01,92,5,0
2015-01-01,93,2,0
2015-01-01,94,1,0
2015-01-01,95,4,0
2015-01-01,96,1,0
2015-01-01,97,3,0
2015-01-01,99,2,0
2015-01-01,103,3,0
2015-01-01,104,1,0
2015-01-01,105,2,0
2015-01-01,106,1,0
2015-01-01,108,3,1
2015-01-01,109,1,0
2015-01-01,111,1,0
2015-01-01,112,3,0
2015-01-01,113,2,0
2015-01-01,115,2,0
2015-01-01,116,1,0
2015-01-01,117,6,0
2015-01-01,118,1,0
2015-01-01,119,1,0
2015-01-01,122,4,0
2015-01-01,124,1,0
2015-01-01,126,1,0
2015-01-01,128,3,0
2015-01-01,129,1,0
2015-01-01,130,15,1
2015-01-01,131,1,0
2015-01-01,132,1,0
2015-01-01,133,2,0
2015-01-01,135,1,0
2015-01-01,136,4,0
2015-01-01,137,1,0
2015-01-01,139,3,0
2015-01-01,140,1,0
2015-01-01,141,2,0
2015-01-01,142,4,0
2015-01-01,143,2,0
2015-01-01,144,1,0
2015-01-01,145,1,0
2015-01-01,146,2,0
2015-01-01,148,1,0
2015-01-01,149,4,0
2015-01-01,151,4,0
2015-01-01,154,2,0
2015-01-01,155,1,0
2015-01-01,156,5,0
2015-01-01,157,3,1
2015-01-01,158,4,0
2015-01-01,159,1,0
2015-01-01,160,4,0
2015-01-01,162,2,1
2015-01-01,165,2,0
2015-01-01,169,1,0
2015-01-01,172,1,0
2015-01-01,173,1,0
2015-01-01,174,17,2
2015-01-01,175,2,0
2015-01-01,176,3,0
2015-01-01,177,2,0
2015-01-01,178,3,0
2015-01-01,179,1,0
2015-01-01,180,4,1
2015-01-01,183,7,0
2015-01-01,184,1,0
2015-01-01,185,2,0
2015-01-01,186,1,0
2015-01-01,187,3,0
2015-01-01,188,2,0
2015-01-01,189,4,0
2015-01-01,190,1,0
2015-01-01,191,1,0
2015-01-01,192,2,0
2015-01-01,193,2,0
